Num,cluster,ramas,,,,,,,,,,,,,,,,,,,,,
3,RC3,3311,3312,3313,3315,3321,3322,3323,3324,3325,3327,3328,3329,3331,3334,3335,3339,3352,3362,3365,3366,4889,8113
6,RC6,2111,3121,3251,3252,3253,3254,3255,3256,3259,3272,5621,,,,,,,,,,,
8,RC8,3332,3333,3341,3342,3343,3344,3345,3351,3353,3359,4885,5171,5172,8112,,,,,,,,
10,RC10,3132,3133,3141,3149,3151,3152,3159,3169,3379,,,,,,,,,,,,,
12,RC12,2361,2362,2371,2372,2373,2379,2381,2389,3271,3273,3279,,,,,,,,,,,
13,RC13,3361,3363,3369,5321,8111,8114,,,,,,,,,,,,,,,,
15,RC15,3221,3222,3231,5613,5615,5619,8129,,,,,,,,,,,,,,,
17,RC17,3131,3261,3262,3346,3399,,,,,,,,,,,,,,,,,
20,RC20,3212,3219,3326,3371,3372,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Num,3,6,8,10,12,13,15,17,20,,,,,,,,,,,
,,,cluster,RC3,RC6,RC8,RC10,RC12,RC13,RC15,RC17,RC20,,,,,,,,,,,
,,,ramas,3311,2111,3332,3132,2361,3361,3221,3131,3212,,,,,,,,,,,
,,,,3312,3121,3333,3133,2362,3363,3222,3261,3219,,,,,,,,,,,
,,,,3313,3251,3341,3141,2371,3369,3231,3262,3326,,,,,,,,,,,
,,,,3315,3252,3342,3149,2372,5321,5613,3346,3371,,,,,,,,,,,
,,,,3321,3253,3343,3151,2373,8111,5615,3399,3372,,,,,,,,,,,
,,,,3322,3254,3344,3152,2379,8114,5619,,,,,,,,,,,,,
,,,,3323,3255,3345,3159,2381,,8129,,,,,,,,,,,,,
,,,,3324,3256,3351,3169,2389,,,,,,,,,,,,,,,
,,,,3325,3259,3353,3379,3271,,,,,,,,,,,,,,,
,,,,3327,3272,3359,,3273,,,,,,,,,,,,,,,
,,,,3328,5621,4885,,3279,,,,,,,,,,,,,,,
,,,,3329,,5171,,,,,,,,,,,,,,,,,
,,,,3331,,5172,,,,,,,,,,,,,,,,,
,,,,3334,,8112,,,,,,,,,,,,,,,,,
,,,,3335,,,,,,,,,,,,,,,,,,,
,,,,3339,,,,,,,,,,,,,,,,,,,
,,,,3352,,,,,,,,,,,,,,,,,,,
,,,,3362,,,,,,,,,,,,,,,,,,,
,,,,3365,,,,,,,,,,,,,,,,,,,
,,,,3366,,,,,,,,,,,,,,,,,,,
,,,,4889,,,,,,,,,,,,,,,,,,,
,,,,8113,,,,,,,,,,,,,,,,,,,
