"","CVEGEO","CVE_ENT","CVE_MUN","NOMGEO","poblacion","RC3","RC6","RC8","RC10","RC12","RC13","RC15","RC17","RC20","re_RC3","re_RC6","re_RC8","re_RC10","re_RC12","re_RC13","re_RC15","re_RC17","re_RC20","lisa_values.Icl3.","lisa_clusters.Icl3.","lisa_pvalues.Icl3.","lisa_values.Icl6.","lisa_clusters.Icl6.","lisa_pvalues.Icl6.","lisa_values.Icl8.","lisa_clusters.Icl8.","lisa_pvalues.Icl8.","lisa_values.Icl10.","lisa_clusters.Icl10.","lisa_pvalues.Icl10.","lisa_values.Icl12.","lisa_clusters.Icl12.","lisa_pvalues.Icl12.","lisa_values.Icl13.","lisa_clusters.Icl13.","lisa_pvalues.Icl13.","lisa_values.Icl15.","lisa_clusters.Icl15.","lisa_pvalues.Icl15.","lisa_values.Icl17.","lisa_clusters.Icl17.","lisa_pvalues.Icl17.","lisa_values.Icl20.","lisa_clusters.Icl20.","lisa_pvalues.Icl20."
"1","01001","01","001","Aguascalientes",162011,4318,2425,881,9013,6948,12215,3847,1236,1457,77966.2732559888,92470.3943151059,147538.721537175,-163182.396686344,7275.07843126233,55154.3011059566,141055.678732297,129788.536307906,63148.859747297,0.0408634503451497,0,0.258,0.449024258884219,0,0.179,0.11025604443177,0,0.239,2.809532123477,2,0.029,0.0305139378626942,0,0.209,-0.561818200792224,4,0.036,0.205015035828591,0,0.242,-0.185189525056778,0,0.337,-0.00659065725760858,0,0.265
"2","01002","01","002","Asientos",1051,23,9,0,0,6,70,0,0,6,-2675.41812268729,-2259.82355191952,-4756.07978268898,-1865.62555622098,-1655.33470467585,-3063.49520687483,-4343.61416857329,-3040.72732174626,-2093.43014221061,-0.0371556479918922,0,0.086,-0.0391477015375935,0,0.062,-0.073394830234048,0,0.066,0.0563052714230664,2,0.009,-0.00213791794150542,0,0.256,-0.00428686960975057,0,0.23,-0.0828690430938553,0,0.061,-0.0628378453750756,3,0.049,-0.0200192633998634,0,0.12
"3","01003","01","003","Calvillo",4412,53,20,0,975,0,49,0,0,25,124.569244296778,799.633565891009,-1395.07978268338,-33367.5848208341,1837.06511107326,475.157018500492,-982.614168681598,320.272678233371,14.2021857185778,0.00201717154071816,0,0.078,0.017121162474979,0,0.058,-0.0271906839086957,0,0.061,1.2645364124964,2,0.007,0.00194447586192897,0,0.241,-0.000125122613713311,0,0.235,-0.0235522634728446,0,0.059,0.00816313350280387,1,0.038,0.000184338070451891,0,0.088
"4","01004","01","004","Cosío",719,23,0,0,355,0,27,0,0,0,-3007.41812272567,-2345.10664823966,-5088.07978268338,-14891.3184166766,-1855.93488892674,-3031.73112632311,-4675.6141686816,-3372.72732176663,-2029.62982478385,0.0109481817840121,0,0.424,0.00724186871798356,0,0.4,0.0221624113091277,0,0.433,0.0408190104259103,0,0.429,0.00688726920826199,0,0.397,0.0111638474102862,0,0.476,0.0234911739241121,0,0.445,0.0127088849696151,0,0.383,0.00617054932188465,0,0.376
"5","01005","01","005","Jesús María",17397,531,125,16,836,528,6685,74,85,109,4170.7679588544,10906.269690077,11432.5499802198,-15412.3783205472,3258.88132193387,-42677.9462065253,11703.0636776071,11370.7155653871,7457.99774100672,0.1029504866198,0,0.056,0.326394880678504,0,0.051,0.317675118615803,0,0.052,0.861152637088309,2,0.007,0.0198244215305207,0,0.13,-0.226832849745926,0,0.123,0.39886536043437,0,0.051,0.408372407646233,1,0.035,0.134261962138078,0,0.067
"6","01006","01","006","Pabellón de Arteaga",3233,10,12,12,391,0,242,15,0,18,-250.312648435394,-160.062519761258,-2692.10746050599,-13664.5661433696,658.065111073256,-2336.55152918335,-2222.28757821768,-858.727321766629,-703.0307772221,0.000274560106675432,0,0.284,-0.000254471290441468,0,0.209,0.00269749145790648,0,0.269,0.0616607990245385,0,0.205,0.000572078663610796,0,0.235,0.040850849219358,2,0.019,0.00173452606020184,0,0.272,-0.000481542145616633,0,0.231,5.46722784066922e-05,0,0.237
"7","01007","01","007","Rincón de Romos",3425,60,25,7,25,0,242,27,10,27,-993.333703397985,-324.431380576323,-2450.92926141323,-385.547588657266,850.065111073256,-2144.55152918335,-2078.82630584655,-894.322276219133,-1104.73125344123,0.00426507635877282,0,0.302,0.00121268433400948,0,0.351,0.0122693930478347,0,0.236,0.00318140134255813,0,0.101,-0.00423719270423724,0,0.361,0.00842820213623221,0,0.249,0.0121039882532484,0,0.217,0.00409702483180286,0,0.349,0.00376051735933626,0,0.435
"8","01008","01","008","San José de Gracia",415,12,0,0,34,0,11,0,0,12,-3105.7134906339,-2649.10664823966,-5392.07978268338,-3717.35952033052,-2159.93488892674,-3200.37704983119,-4979.6141686816,-3676.72732176663,-3125.23045974268,0.00233630462538792,0,0.267,-0.00462129488659018,0,0.184,0.00463300533004164,0,0.242,0.0551589532232455,0,0.055,-0.00187713367254315,0,0.225,0.0358362905161758,2,0.027,0.00292067326789066,0,0.243,-0.00289027048609718,0,0.209,-9.57426483338789e-05,0,0.207
"9","01009","01","009","Tepezalá",399,16,0,0,0,0,0,0,0,0,-3196.51517503091,-2665.10664823966,-5408.07978268338,-2517.62555623156,-2175.93488892674,-3123.32112224299,-4995.6141686816,-3692.72732176663,-2349.62982478385,0.00688662681624655,0,0.31,0.004577111453896,0,0.306,0.0188043934378209,0,0.366,0.0128422715198985,0,0.175,0.00148510559668569,0,0.252,0.010637486560388,0,0.443,0.0192027692841374,0,0.373,0.00893305338205532,0,0.309,0.00603800213706315,0,0.352
"10","01010","01","010","El Llano",421,0,0,0,0,0,12,0,0,0,-2875.30843744288,-2643.10664823966,-5386.07978268338,-2495.62555623156,-2153.93488892674,-3202.83667961193,-4973.6141686816,-3670.72732176663,-2327.62982478385,-0.0926180731870125,3,0.046,-0.112061247992265,3,0.026,-0.205690958412193,3,0.027,0.171484624758755,2,0.002,-0.0168749175608205,0,0.121,-0.0593550507250081,0,0.06,-0.233148590839844,3,0.03,-0.144898921491474,3,0.03,-0.0518765555006518,0,0.063
